"sample_id"	"transcriptome"	"cellranger_versiom"	"Estimated_Number_of_Cells"	"Mean_Reads_per_Cell"	"Median_Genes_per_Cell"	"Number_of_Reads"	"Valid_Barcodes"	"Sequencing_Saturation"	"Q30_Bases_in_Barcode"	"Q30_Bases_in_RNA_Read"	"Q30_Bases_in_Sample_Index"	"Q30_Bases_in_UMI"	"Reads_Mapped_to_Genome"	"Reads_Mapped_Confidently_to_Genome"	"Reads_Mapped_Confidently_to_Intergenic_Regions"	"Reads_Mapped_Confidently_to_Intronic_Regions"	"Reads_Mapped_Confidently_to_Exonic_Regions"	"Reads_Mapped_Confidently_to_Transcriptome"	"Reads_Mapped_Antisense_to_Gene"	"Fraction_Reads_in_Cells"	"Total_Genes_Detected"	"Median_UMI_Counts_per_Cell"	"experiment"	"treatment"	"mouse_id"	"time"	"meta"
"4672STDY7623907"	"mm10-1_2_0"	"3.0.2"	4581	79090	655	362313286	98.7	86.1	97.9	73.5	94.5	98	89.9	83.5	4.1	7.2	72.2	70.1	0.7	85.1	16698	2029	3.2	"control"	"mouse_13"	"24hpi"	NA
"4672STDY7623907"	"mm10"	"2.1.1"	1098	329975	3445	362313286	98.7	86.9	97.9	73.5	94.5	98	89.9	83.5	4.1	7.2	72.2	70.1	0.7	65.2	16321	15969	3.2	"control"	"mouse_13"	"24hpi"	NA
"4672STDY7623908"	"mm10-1_2_0"	"3.0.2"	3859	195148	759	753078127	98.6	92.8	98.2	83.4	95.5	98.3	93.4	86.9	4.3	7.3	75.4	73.2	0.7	85.9	16950	2429	3.2	"control"	"mouse_13"	"24hpi"	NA
"4672STDY7623908"	"mm10"	"2.1.1"	957	786915	3779	753078127	98.6	93.8	98.2	83.4	95.5	98.3	93.4	86.9	4.3	7.3	75.4	73.2	0.7	66.8	16615	19145	3.2	"control"	"mouse_13"	"24hpi"	NA
"4672STDY7623909"	"mm10-1_2_0"	"3.0.2"	3216	120667	888	388066314	98.8	93.3	98.4	85.1	96.5	98.5	94.8	85.4	5.4	3.9	76.1	74.4	0.5	82	14707	3013	3.2	"control"	"mouse_14"	"24hpi"	NA
"4672STDY7623909"	"mm10"	"2.1.1"	2863	135545	995	388066314	98.7	93.8	98.4	85.1	96.5	98.5	94.8	85.4	5.4	3.9	76.1	74.4	0.5	79.4	14987	3404	3.2	"control"	"mouse_14"	"24hpi"	NA
"4672STDY7623910"	"mm10-1_2_0"	"3.0.2"	3919	103765	937	406656601	98.7	91.8	98.7	84.9	97.3	98.8	95.2	86	5.8	4.5	75.6	73.7	0.5	81.3	15309	3088	3.2	"control"	"mouse_15"	"24hpi"	NA
"4672STDY7623910"	"mm10"	"2.1.1"	2499	162727	1261	406656601	98.6	92.2	98.7	84.9	97.3	98.8	95.2	86	5.8	4.5	75.6	73.7	0.5	70.9	15320	4388	3.2	"control"	"mouse_15"	"24hpi"	NA
"4672STDY7623911"	"mm10-1_2_0"	"3.0.2"	4080	97662	781	398462469	98.7	88	98.6	84.5	96.5	98.7	94.4	87.9	4.3	7.4	76.2	74.1	0.7	89.3	16738	2476	3.2	"infected"	"mouse_16"	"24hpi"	NA
"4672STDY7623911"	"mm10"	"2.1.1"	1123	354819	3378	398462469	98.6	88.9	98.6	84.5	96.5	98.7	94.4	87.9	4.3	7.4	76.2	74.1	0.7	70.3	16322	16554	3.2	"infected"	"mouse_16"	"24hpi"	NA
"4672STDY7623912"	"mm10-1_2_0"	"3.0.2"	4090	190339	842	778488896	98.6	92.6	98.3	84.6	96.5	98.5	94.3	88	4.3	7.4	76.2	74.2	0.7	88.8	16858	2615	3.2	"infected"	"mouse_16"	"24hpi"	NA
"4672STDY7623912"	"mm10"	"2.1.1"	1074	724849	3639	778488896	98.6	93.6	98.3	84.6	96.5	98.5	94.3	88	4.3	7.4	76.2	74.2	0.7	69.3	16594	18325	3.2	"infected"	"mouse_16"	"24hpi"	NA
"4672STDY7623913"	"mm10-1_2_0"	"3.0.2"	2205	176737	806	389706966	98.7	92	98.5	85.2	96.5	98.6	94.5	86.7	5.6	6.2	74.8	72.8	0.6	70.2	15770	2463	3.2	"infected"	"mouse_17"	"24hpi"	NA
"4672STDY7623913"	"mm10"	"2.1.1"	877	444363	2544	389706966	98.7	92.7	98.5	85.2	96.5	98.6	94.5	86.7	5.6	6.2	74.8	72.8	0.6	59	15479	10742	3.2	"infected"	"mouse_17"	"24hpi"	NA
"4672STDY7623914"	"mm10"	"2.1.1"	2179	179941	2183	392092718	98.7	87.1	98.4	86.1	96.4	98.6	95	87	3.8	6.1	77.1	75	0.7	67.7	16212	8588	3.2	"infected"	"mouse_18"	"24hpi"	NA
"4672STDY7623914"	"mm10-1_2_0"	"3.0.2"	6373	61524	778	392092718	98.7	86.6	98.4	86.1	96.4	98.6	95	87	3.8	6.1	77.1	75	0.7	88.5	16479	2431	3.2	"infected"	"mouse_18"	"24hpi"	NA
"4672STDY7631188"	"mm10"	"2.1.1"	1976	184373	1108	364322234	98.3	95.1	97.6	76.4	94.4	97.9	92	83.8	3.7	5.1	75.1	72.7	0.9	73.7	15863	3316	3.1	"control"	"mouse_7"	"24hpi"	NA
"4672STDY7631188"	"mm10-1_2_0"	"3.0.2"	2815	129421	816	364322234	98.3	94.6	97.6	76.4	94.4	97.9	92	83.8	3.7	5.1	75.1	72.7	0.9	80.6	15329	2285	3.1	"control"	"mouse_7"	"24hpi"	NA
"4672STDY7631189"	"mm10-1_2_0"	"3.0.2"	3876	93183	713	361178184	98.4	91.4	97.5	74.8	92.1	97.8	90.3	84.1	3.3	7.4	73.4	71	0.9	87.9	16362	1815	3.1	"control"	"mouse_8"	"24hpi"	NA
"4672STDY7631189"	"mm10"	"2.1.1"	1541	234379	2233	361178184	98.3	92	97.5	74.8	92.1	97.8	90.3	84.1	3.3	7.4	73.4	71	0.9	73.4	16398	7927	3.1	"control"	"mouse_8"	"24hpi"	NA
"4672STDY7631190"	"mm10-1_2_0"	"3.0.2"	3262	111312	757	363102881	98.3	93.9	97.5	77	93.2	97.9	92	84.1	3.6	5.6	75	72.5	1	81	15628	2132	3.1	"control"	"mouse_9"	"24hpi"	NA
"4672STDY7631190"	"mm10"	"2.1.1"	2237	162316	1070	363102881	98.3	94.4	97.5	77	93.2	97.9	92	84.1	3.6	5.6	75	72.5	1	73.3	16363	3184	3.1	"control"	"mouse_9"	"24hpi"	NA
"4672STDY7631191"	"mm10-1_2_0"	"3.0.2"	2654	128386	755	340738553	97.7	94	97.6	75.3	93.1	97.8	88.5	80.5	4.2	5.4	70.9	68.4	1	71.5	15391	2103	3.1	"infected"	"mouse_10"	"24hpi"	NA
"4672STDY7631191"	"mm10"	"2.1.1"	2029	167934	971	340738553	97.6	94.4	97.6	75.3	93.1	97.8	88.5	80.5	4.2	5.4	70.9	68.4	1	66.5	16273	2744	3.1	"infected"	"mouse_10"	"24hpi"	NA
"4672STDY7631192"	"mm10"	"2.1.1"	2315	142799	1569	330581068	98.2	91.5	97.3	73.8	92.5	97.4	87.9	81.7	3.3	6.2	72.3	70	0.9	76.7	16103	5066	3.1	"infected"	"mouse_11"	"24hpi"	NA
"4672STDY7631192"	"mm10-1_2_0"	"3.0.2"	3227	102442	1088	330581068	98.2	91.1	97.3	73.8	92.5	97.4	87.9	81.7	3.3	6.2	72.3	70	0.9	82.5	15721	3202	3.1	"infected"	"mouse_11"	"24hpi"	NA
"4672STDY7631193"	"mm10-1_2_0"	"3.0.2"	4540	77554	696	352098869	98.2	92.3	97.8	78.1	94.3	98	90	82.3	3.6	6.7	72	69.5	1.1	82	15905	1735	3.1	"infected"	"mouse_12"	"24hpi"	NA
"4672STDY7631193"	"mm10"	"2.1.1"	2526	139389	1424	352098869	98.1	92.7	97.8	78.1	94.3	98	90	82.3	3.6	6.7	72	69.5	1.1	71	16126	4101	3.1	"infected"	"mouse_12"	"24hpi"	NA
"4672STDY8112878"	"mm10-3_0_0"	"3.0.2"	10154	32931	1698	334390916	98.8	44.7	96.5	74.4	90.9	96.8	91.5	85.6	6.8	7.2	71.7	69.7	0.7	88.8	18702	6857	4	"control"	"mouse_19"	"24hpi"	NA
"4672STDY8112879"	"mm10-3_0_0"	"3.0.2"	8801	38590	1395	339631512	98.8	58.1	96.9	74	92	97.2	91.2	84.7	10.2	5.8	68.6	66.7	0.6	89.9	18718	5996	4	"control"	"mouse_20"	"24hpi"	NA
"4672STDY8112880"	"mm10-3_0_0"	"3.0.2"	10214	33678	1485	343988246	98.8	52	96.9	76.1	92.2	97.1	92	86	9.2	6.4	70.4	68.6	0.7	89.3	18346	6129	4	"control"	"mouse_21"	"24hpi"	NA
"4672STDY8112881"	"mm10-3_0_0"	"3.0.2"	8416	41900	1640	352634886	98.7	53.4	97.3	74.6	93	97.6	91.8	85.8	10.6	6.4	68.9	67	0.6	88.2	18778	7210	4	"control"	"mouse_22"	"24hpi"	NA
"4672STDY8112882"	"mm10-3_0_0"	"3.0.2"	8230	42006	1479	345717532	98.6	60.8	97.7	74.2	93.8	97.9	93.6	86.7	10.1	6.4	70.1	68.4	0.6	89.2	17950	6276	4	"infected"	"mouse_23"	"24hpi"	NA
"4672STDY8112883"	"mm10-3_0_0"	"3.0.2"	9409	36419	1490	342668257	98.7	51.1	97.8	71.8	93.9	97.9	92.5	87	9.1	6.9	71	69	0.6	90.3	18545	6157	4	"infected"	"mouse_24"	"24hpi"	NA
"4672STDY8112884"	"mm10-3_0_0"	"3.0.2"	9125	32684	1233	298248975	98.6	58.2	97.9	67.4	93.2	98	94.7	88.4	10.9	6.9	70.6	68.9	0.7	91.8	18436	5031	4	"infected"	"mouse_25"	"24hpi"	NA
"4672STDY8112885"	"mm10-3_0_0"	"3.0.2"	10268	33784	1458	346897784	98.7	51.6	97.3	73.1	93.3	97.5	91.7	85.8	10	6.6	69.1	67.3	0.6	92	18783	6133	4	"infected"	"mouse_26"	"24hpi"	NA
